nameseq,A_A,A_C,A_G,A_U,C_A,C_C,C_G,C_U,G_A,G_C,G_G,G_U,U_A,U_C,U_G,U_U,label
P1,0,0,1,3,1,0,1,1,2,0,1,1,2,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0,1,1,0,0,0,1,0,1,0,0,2,1,1,2,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,1,4,0,0,2,2,1,1,2,0,0,0,1,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,2,2,0,2,2,0,0,1,1,0,1,1,2,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0,0,2,1,0,0,1,0,1,0,1,3,2,0,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,1,2,2,2,1,0,1,0,1,0,0,3,4,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,5,0,1,1,0,4,0,1,1,0,0,0,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,3,0,2,1,0,0,0,0,2,0,1,3,2,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,2,0,2,1,0,0,1,0,0,0,0,2,1,1,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,3,1,2,2,2,0,2,0,3,0,0,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0,0,1,1,1,1,0,3,0,0,0,2,1,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,4,1,3,0,1,0,0,1,2,0,0,2,2,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0,1,1,0,0,1,4,0,2,2,2,1,0,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0,0,0,2,0,0,0,0,0,0,0,1,2,1,1,11,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,2,1,1,3,1,0,0,0,3,0,0,1,1,0,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0,1,0,2,1,1,3,0,0,1,0,4,1,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0,1,0,4,0,0,0,1,0,0,0,0,4,0,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0,0,1,1,0,1,1,1,1,2,0,2,1,0,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,3,1,1,0,0,1,2,3,0,0,0,1,2,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,3,0,1,2,0,0,0,2,2,0,1,0,3,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0,1,1,0,0,0,1,3,1,2,2,2,1,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,2,2,0,4,2,0,0,0,0,0,0,0,4,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0,1,0,3,0,0,1,1,3,0,0,2,1,0,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0,1,0,0,0,1,2,2,0,3,5,1,0,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0,0,0,1,0,3,1,4,0,1,0,0,2,4,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,1,1,1,1,0,1,0,2,0,1,0,2,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0,1,0,0,1,5,3,0,0,2,0,3,0,2,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0,1,3,1,1,1,3,1,3,2,0,0,0,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,4,1,1,3,0,0,0,0,2,0,0,0,3,0,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,4,1,2,0,0,1,1,0,1,0,1,2,1,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0,1,0,0,1,2,0,4,1,0,0,1,0,3,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,1,0,0,3,1,1,0,0,0,0,0,1,3,0,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2,11,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0,1,1,0,0,0,1,1,2,0,1,3,1,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,5,1,1,1,2,1,1,1,1,1,0,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,5,0,1,2,0,1,1,0,1,0,0,1,1,1,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,2,1,1,0,2,2,1,2,0,1,1,1,0,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0,0,0,3,1,0,1,0,0,1,0,2,4,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,2,2,0,1,0,0,0,1,2,0,3,1,2,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0,3,0,1,1,3,3,1,1,0,0,1,2,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,1,3,0,0,1,3,1,2,0,0,2,1,2,0,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,1,0,2,3,0,0,0,1,1,1,0,2,3,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,1,3,1,2,2,0,2,0,1,1,0,1,2,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,1,1,0,1,2,1,0,3,0,0,0,0,0,4,0,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,2,0,2,1,1,0,0,0,1,0,3,2,1,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,1,0,0,5,1,0,0,0,0,0,1,1,4,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,2,0,2,4,1,0,0,1,2,0,0,0,4,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,2,0,1,2,1,1,1,0,2,0,2,1,2,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0,0,0,1,0,0,0,2,1,1,1,1,2,1,2,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,1,0,2,2,2,1,1,0,1,1,0,3,1,0,3,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,1,1,2,1,0,1,2,1,3,0,1,2,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0,0,3,3,0,0,0,1,4,1,1,1,0,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,1,1,1,3,3,1,0,1,0,1,0,0,0,3,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,1,1,2,1,1,0,1,1,1,2,0,1,2,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,4,1,0,4,1,0,0,2,0,0,0,0,4,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,3,1,0,0,1,1,0,2,0,1,0,0,1,2,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0,0,2,1,2,0,1,1,0,3,0,2,2,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0,1,0,0,0,0,2,2,0,0,1,2,1,3,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0,0,1,1,0,4,0,3,1,1,3,1,1,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,1,3,0,0,1,0,0,4,0,2,4,0,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0,0,3,1,0,1,1,0,0,1,0,4,3,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,1,2,2,1,3,0,1,0,0,1,1,1,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0,1,2,1,3,0,0,1,1,0,0,2,1,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,3,0,2,3,1,0,1,1,1,1,1,0,3,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,1,1,1,2,1,0,1,1,0,2,0,1,4,0,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,1,4,0,1,1,0,1,3,2,0,0,0,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0,1,3,0,1,2,2,0,1,1,0,3,2,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,1,0,1,1,0,0,0,3,1,1,0,1,1,1,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0,2,1,1,1,1,2,1,1,1,2,1,3,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,1,0,1,0,1,2,0,3,0,1,1,2,0,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,1,1,0,2,1,0,1,1,0,0,3,2,2,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0,0,1,0,1,2,0,3,0,0,0,1,0,5,0,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0,2,1,1,2,1,1,2,0,1,1,1,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0,0,0,3,0,1,0,2,0,0,2,2,2,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,2,3,1,0,2,1,0,3,1,1,1,0,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,2,1,1,0,1,1,3,1,0,1,1,2,1,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0,2,2,1,2,2,0,1,2,0,1,1,1,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0,0,1,1,1,1,2,1,0,1,0,3,2,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,1,1,2,2,0,0,1,0,2,0,0,1,2,0,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,1,1,0,1,0,0,1,2,0,0,1,2,2,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0,0,0,1,0,0,0,1,0,0,0,2,1,2,3,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,1,1,1,1,0,0,2,2,1,2,1,1,2,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,5,0,1,2,0,0,1,0,3,0,2,0,1,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,1,2,1,1,1,0,1,2,1,2,1,0,1,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,2,2,0,2,1,0,1,2,0,0,0,0,2,2,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,2,1,4,2,3,0,0,0,1,1,1,0,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0,0,0,1,1,1,3,1,0,4,4,1,0,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0,1,2,1,0,1,1,2,1,2,0,0,3,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,6,1,1,1,2,0,1,0,1,0,0,1,0,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,1,0,2,2,0,0,1,0,1,1,0,1,4,0,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,2,2,2,0,0,0,1,2,3,0,0,2,1,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,2,0,0,4,0,0,0,2,0,1,0,0,3,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,2,1,2,4,1,0,0,0,2,0,0,0,5,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,1,0,0,3,0,0,2,1,1,0,0,3,2,1,4,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,5,0,3,2,0,0,0,0,1,0,0,1,3,0,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,1,1,1,0,0,2,1,2,0,1,1,3,2,3,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0,1,1,0,1,2,1,2,0,0,0,3,0,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,3,0,1,4,1,0,0,1,1,0,1,0,3,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0,2,0,2,0,0,1,4,1,0,0,1,1,3,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,1,0,1,2,1,0,1,1,1,1,1,2,2,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,3,0,2,3,2,0,1,0,1,2,1,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,2,3,0,0,1,2,1,2,2,0,0,0,0,2,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,1,2,0,1,1,0,1,2,0,0,0,1,3,2,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0,0,0,0,0,1,0,2,0,0,2,2,0,2,2,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0,2,1,0,2,7,0,1,0,1,1,0,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,1,2,2,1,0,1,0,1,2,1,1,1,3,0,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0,0,1,0,1,1,1,2,0,1,0,2,0,4,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,3,2,0,4,0,1,0,1,1,0,0,0,3,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,1,1,1,1,1,2,1,2,0,1,1,0,2,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0,1,2,1,0,0,1,2,1,1,0,1,3,2,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,1,1,1,2,0,0,2,1,2,1,1,2,1,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,6,0,0,2,1,0,0,0,0,0,0,0,2,2,0,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,1,1,0,1,2,0,2,3,0,3,0,0,1,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0,0,0,1,1,0,1,1,0,1,2,4,1,0,5,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,1,2,0,0,1,2,4,0,1,1,0,3,0,2,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,1,1,2,0,1,0,2,3,1,2,2,0,0,3,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0,1,0,2,3,1,0,2,0,1,0,1,0,4,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,1,2,0,1,1,5,1,1,0,1,2,1,1,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0,3,0,1,3,1,2,2,0,1,0,0,0,3,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,2,0,1,4,1,0,0,0,0,0,3,1,4,0,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,1,2,0,2,2,0,0,1,2,1,0,1,0,2,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,1,1,0,2,0,1,0,2,2,0,1,1,1,2,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,3,0,2,2,0,0,0,0,1,0,0,3,1,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,1,1,1,1,1,0,0,1,2,0,2,2,1,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,0,2,1,0,2,2,2,2,1,1,0,1,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,1,0,1,1,1,1,0,2,0,0,2,2,2,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,3,1,1,0,2,0,1,1,0,1,1,2,1,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0,2,2,1,1,0,1,0,1,0,0,2,2,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,2,0,0,4,0,0,0,1,1,0,1,0,2,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0,0,3,0,1,1,1,2,0,3,0,2,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,1,3,0,1,0,0,2,2,3,0,1,0,1,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0,0,1,0,0,2,2,0,0,1,3,4,1,1,3,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0,0,0,0,0,1,1,5,0,1,0,1,0,6,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,3,2,3,1,2,0,0,0,1,0,2,1,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,4,1,0,2,2,0,0,1,0,0,0,0,1,2,0,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,1,2,2,1,0,0,3,0,2,1,0,1,1,0,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,1,0,2,1,3,1,1,1,0,0,0,3,0,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,4,0,1,1,2,0,0,1,1,1,2,1,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,3,3,1,1,2,1,1,0,0,0,0,1,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,4,0,2,2,0,1,0,1,1,1,0,1,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P141,2,1,0,3,1,0,2,1,1,1,0,0,2,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P142,2,0,0,1,0,0,1,0,1,1,2,1,0,1,1,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P143,1,1,1,2,2,0,1,1,1,0,0,2,2,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P144,0,2,2,0,1,2,2,0,2,1,1,2,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P145,0,0,0,1,0,3,2,2,1,2,1,0,0,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P146,0,1,0,4,4,2,1,0,0,0,1,0,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P147,3,2,1,1,1,1,0,1,2,0,2,1,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P148,0,1,0,1,0,0,0,2,0,0,3,3,1,1,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P149,4,1,3,2,1,0,0,1,1,0,0,0,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P150,2,0,2,1,0,2,1,2,2,2,1,0,0,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P151,0,2,1,1,1,0,2,1,2,1,3,1,1,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P152,1,0,1,1,1,1,1,0,0,3,1,3,2,0,3,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P153,0,2,1,0,0,0,2,2,1,2,2,2,2,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P154,0,0,1,0,1,3,1,4,1,0,0,2,0,4,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P155,0,0,2,2,0,0,3,1,3,1,2,0,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P156,1,0,0,3,1,0,1,3,1,1,0,0,2,4,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P157,1,2,1,0,2,2,0,4,0,1,0,0,1,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P158,1,2,0,0,2,3,3,1,0,3,1,0,0,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P159,0,0,1,2,0,2,0,0,0,1,4,2,1,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P160,1,0,1,2,0,0,1,2,1,2,2,1,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P161,6,0,1,4,1,0,0,0,1,0,0,0,3,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P162,4,1,4,2,1,0,0,0,3,0,0,1,1,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P163,1,1,0,1,0,0,0,2,1,1,1,2,1,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P164,3,3,2,0,0,2,1,1,2,0,0,2,2,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P165,1,3,0,1,1,3,0,4,0,0,0,0,2,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P166,1,2,1,4,3,0,1,0,2,0,0,0,1,3,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P167,0,2,1,2,1,0,0,1,1,0,1,1,2,0,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P168,0,0,3,0,1,0,1,2,2,1,0,2,0,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P169,1,3,2,1,1,2,1,1,1,0,0,1,2,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P170,1,2,1,1,4,2,1,0,0,2,2,0,1,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P171,0,2,1,1,2,1,0,2,1,0,0,0,2,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P172,4,1,0,1,1,0,0,0,2,0,1,1,1,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P173,0,3,1,0,1,0,4,0,2,1,4,1,0,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P174,0,0,0,1,0,0,3,0,0,2,2,3,1,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P175,1,1,1,2,0,0,0,0,0,0,0,1,4,0,1,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P176,3,1,1,1,0,0,1,1,3,1,2,0,1,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P177,4,0,2,2,1,0,0,1,2,0,1,0,0,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P178,1,1,2,1,2,1,0,2,0,2,0,0,2,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P179,3,1,5,1,0,0,1,0,5,0,1,0,1,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P180,1,1,3,1,0,0,2,1,4,1,0,1,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P181,0,1,0,3,0,2,1,0,3,0,1,1,0,1,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P182,1,1,2,3,2,1,1,0,2,1,0,0,0,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P183,3,0,2,0,1,0,2,1,0,2,1,1,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P184,1,3,0,1,1,1,3,1,1,1,0,1,3,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P185,0,0,0,1,1,0,0,0,1,1,4,3,0,1,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P186,0,2,3,1,1,0,1,1,3,0,0,2,2,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P187,4,1,1,2,0,1,1,0,1,0,0,1,2,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P188,1,0,1,3,2,0,0,2,1,0,1,1,0,6,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
