nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,label
P1,0.062,0.033,0.066,0.066,0.033,0.033,0.1,0.033,0.033,0.066,0.066,0.1,0.066,0.1,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.013,0.066,0.1,0.066,0.066,0.066,0.033,0.033,0.133,0.033,0.0,0.066,0.033,0.033,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.033,0.033,0.066,0.133,0.066,0.166,0.0,0.066,0.0,0.0,0.0,0.066,0.133,0.1,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.017,0.033,0.066,0.033,0.033,0.033,0.0,0.066,0.066,0.0,0.0,0.133,0.033,0.066,0.133,0.266,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.052,0.066,0.066,0.1,0.066,0.066,0.033,0.0,0.066,0.033,0.033,0.066,0.066,0.0,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.016,0.133,0.0,0.033,0.066,0.166,0.133,0.066,0.0,0.1,0.0,0.066,0.133,0.0,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.058,0.066,0.0,0.133,0.066,0.066,0.1,0.033,0.033,0.066,0.0,0.033,0.1,0.033,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.0,0.133,0.0,0.0,0.033,0.133,0.166,0.033,0.033,0.133,0.033,0.066,0.033,0.0,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.017,0.1,0.033,0.1,0.066,0.033,0.066,0.1,0.033,0.033,0.033,0.033,0.133,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.016,0.1,0.066,0.033,0.133,0.2,0.066,0.066,0.0,0.133,0.0,0.0,0.033,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0.043,0.066,0.1,0.066,0.033,0.066,0.033,0.033,0.133,0.0,0.1,0.066,0.066,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0.0,0.066,0.0,0.066,0.033,0.033,0.133,0.0,0.033,0.066,0.133,0.133,0.033,0.033,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0.0,0.033,0.033,0.066,0.0,0.0,0.033,0.133,0.033,0.033,0.066,0.133,0.066,0.1,0.166,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0.019,0.033,0.1,0.0,0.033,0.066,0.1,0.033,0.033,0.033,0.066,0.2,0.033,0.1,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0.019,0.033,0.0,0.1,0.066,0.066,0.033,0.066,0.033,0.033,0.0,0.033,0.033,0.1,0.066,0.3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0.038,0.1,0.0,0.066,0.066,0.166,0.1,0.066,0.0,0.1,0.033,0.033,0.066,0.066,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0.075,0.033,0.033,0.166,0.033,0.0,0.033,0.066,0.066,0.0,0.0,0.066,0.133,0.1,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0.054,0.066,0.066,0.033,0.0,0.0,0.033,0.066,0.066,0.0,0.033,0.133,0.133,0.033,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0.063,0.133,0.1,0.0,0.166,0.1,0.033,0.033,0.033,0.1,0.066,0.033,0.066,0.0,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0.051,0.066,0.1,0.033,0.1,0.033,0.0,0.033,0.066,0.066,0.133,0.066,0.033,0.0,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0.0,0.133,0.0,0.1,0.0,0.033,0.1,0.1,0.133,0.1,0.0,0.0,0.1,0.0,0.133,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0.0,0.066,0.0,0.033,0.033,0.066,0.133,0.166,0.066,0.066,0.033,0.033,0.0,0.2,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0.018,0.033,0.033,0.1,0.033,0.1,0.133,0.033,0.033,0.066,0.033,0.066,0.1,0.1,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0.017,0.0,0.033,0.1,0.1,0.133,0.033,0.033,0.0,0.1,0.066,0.033,0.066,0.066,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0.0,0.033,0.033,0.033,0.0,0.066,0.166,0.1,0.1,0.1,0.0,0.033,0.0,0.133,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0.015,0.066,0.066,0.0,0.066,0.266,0.066,0.1,0.0,0.1,0.066,0.033,0.066,0.033,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0.0,0.033,0.033,0.033,0.033,0.3,0.0,0.1,0.0,0.066,0.033,0.033,0.066,0.033,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0.0,0.1,0.033,0.066,0.133,0.166,0.066,0.0,0.033,0.1,0.033,0.033,0.0,0.033,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0.015,0.066,0.066,0.033,0.066,0.133,0.0,0.1,0.033,0.033,0.033,0.1,0.066,0.066,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0.061,0.1,0.0,0.1,0.066,0.1,0.066,0.1,0.033,0.033,0.0,0.066,0.066,0.1,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0.015,0.033,0.133,0.1,0.1,0.0,0.0,0.0,0.1,0.066,0.1,0.033,0.1,0.0,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0.0,0.033,0.033,0.066,0.133,0.1,0.033,0.1,0.0,0.066,0.0,0.033,0.0,0.166,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0.051,0.1,0.033,0.1,0.066,0.033,0.066,0.033,0.033,0.033,0.033,0.066,0.1,0.033,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0.0,0.033,0.1,0.066,0.033,0.033,0.033,0.033,0.133,0.033,0.1,0.1,0.033,0.033,0.166,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0.048,0.033,0.0,0.166,0.066,0.033,0.033,0.033,0.033,0.066,0.033,0.1,0.1,0.0,0.166,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0.016,0.066,0.0,0.066,0.033,0.066,0.033,0.2,0.033,0.066,0.033,0.0,0.066,0.133,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0.018,0.033,0.066,0.066,0.0,0.0,0.033,0.133,0.033,0.033,0.066,0.033,0.133,0.1,0.033,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0.0,0.033,0.033,0.033,0.0,0.1,0.033,0.133,0.0,0.1,0.033,0.1,0.1,0.033,0.133,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0.0,0.0,0.033,0.1,0.033,0.0,0.033,0.1,0.033,0.133,0.133,0.033,0.1,0.033,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0.015,0.033,0.066,0.1,0.1,0.066,0.066,0.066,0.033,0.066,0.033,0.066,0.066,0.166,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0.0,0.066,0.0,0.033,0.066,0.166,0.1,0.133,0.0,0.066,0.0,0.033,0.066,0.133,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0.055,0.033,0.066,0.033,0.066,0.066,0.033,0.1,0.033,0.066,0.133,0.0,0.033,0.1,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0.017,0.0,0.066,0.066,0.066,0.033,0.1,0.066,0.033,0.066,0.033,0.1,0.066,0.166,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0.0,0.066,0.066,0.0,0.066,0.133,0.0,0.133,0.0,0.033,0.0,0.1,0.066,0.066,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0.055,0.133,0.1,0.033,0.1,0.0,0.0,0.066,0.133,0.033,0.066,0.033,0.0,0.033,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0.04,0.0,0.066,0.1,0.0,0.066,0.033,0.066,0.1,0.066,0.2,0.0,0.066,0.0,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0.0,0.066,0.033,0.0,0.0,0.033,0.033,0.133,0.033,0.033,0.1,0.166,0.066,0.066,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0.047,0.066,0.066,0.033,0.066,0.233,0.066,0.0,0.033,0.066,0.133,0.033,0.066,0.0,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0.028,0.066,0.066,0.1,0.066,0.033,0.066,0.1,0.066,0.1,0.033,0.033,0.066,0.066,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0.015,0.1,0.0,0.066,0.1,0.166,0.133,0.033,0.0,0.1,0.033,0.066,0.066,0.033,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0.0,0.033,0.0,0.1,0.033,0.0,0.1,0.066,0.033,0.133,0.1,0.066,0.066,0.033,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0.052,0.033,0.033,0.1,0.0,0.033,0.066,0.033,0.1,0.0,0.133,0.1,0.1,0.033,0.1,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0.0,0.066,0.033,0.133,0.066,0.1,0.033,0.033,0.066,0.0,0.066,0.033,0.1,0.033,0.033,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,0.0,0.033,0.066,0.0,0.033,0.1,0.0,0.033,0.0,0.033,0.066,0.166,0.066,0.0,0.133,0.266,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0.018,0.033,0.066,0.233,0.066,0.0,0.0,0.066,0.0,0.033,0.0,0.066,0.3,0.033,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,0.0,0.0,0.1,0.066,0.1,0.1,0.066,0.066,0.0,0.1,0.0,0.033,0.066,0.1,0.0,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0.033,0.033,0.0,0.066,0.066,0.033,0.0,0.1,0.0,0.033,0.0,0.033,0.033,0.133,0.066,0.333,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0.015,0.033,0.066,0.1,0.066,0.133,0.033,0.033,0.033,0.033,0.0,0.1,0.1,0.066,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0.018,0.033,0.1,0.066,0.0,0.0,0.033,0.066,0.033,0.0,0.033,0.133,0.166,0.066,0.033,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,0.033,0.0,0.1,0.066,0.066,0.1,0.033,0.066,0.033,0.1,0.066,0.033,0.033,0.1,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0.027,0.166,0.033,0.066,0.066,0.066,0.033,0.033,0.133,0.0,0.1,0.033,0.033,0.0,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0.018,0.1,0.066,0.066,0.066,0.066,0.1,0.033,0.133,0.066,0.033,0.033,0.0,0.033,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0.0,0.1,0.033,0.066,0.133,0.166,0.033,0.066,0.0,0.033,0.066,0.033,0.066,0.066,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0.056,0.0,0.033,0.133,0.066,0.0,0.0,0.1,0.0,0.033,0.0,0.066,0.133,0.1,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0.014,0.033,0.066,0.066,0.033,0.1,0.066,0.066,0.1,0.066,0.0,0.1,0.066,0.066,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0.03,0.133,0.0,0.066,0.066,0.033,0.033,0.1,0.066,0.066,0.133,0.0,0.066,0.033,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0.056,0.066,0.133,0.1,0.066,0.033,0.0,0.066,0.1,0.066,0.033,0.033,0.1,0.0,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0.017,0.066,0.066,0.033,0.1,0.066,0.0,0.133,0.033,0.1,0.033,0.033,0.033,0.1,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0.035,0.1,0.0,0.033,0.0,0.0,0.066,0.233,0.033,0.0,0.0,0.066,0.1,0.166,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0.0,0.033,0.0,0.066,0.033,0.1,0.1,0.033,0.033,0.133,0.166,0.033,0.033,0.033,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0.0,0.1,0.066,0.033,0.033,0.033,0.066,0.1,0.066,0.066,0.0,0.066,0.133,0.033,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0.073,0.066,0.033,0.033,0.033,0.133,0.033,0.133,0.0,0.0,0.0,0.033,0.1,0.133,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0.045,0.1,0.033,0.066,0.0,0.033,0.0,0.1,0.033,0.0,0.0,0.1,0.166,0.0,0.066,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0.0,0.033,0.066,0.133,0.033,0.066,0.066,0.066,0.066,0.1,0.066,0.0,0.1,0.033,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0.014,0.166,0.0,0.033,0.133,0.166,0.066,0.066,0.0,0.033,0.0,0.066,0.1,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0.0,0.066,0.033,0.066,0.133,0.133,0.066,0.033,0.0,0.133,0.033,0.033,0.066,0.033,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0.03,0.033,0.133,0.1,0.1,0.066,0.0,0.066,0.033,0.1,0.0,0.033,0.133,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0.014,0.0,0.066,0.066,0.0,0.033,0.133,0.066,0.1,0.133,0.033,0.066,0.033,0.066,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0.017,0.0,0.033,0.166,0.066,0.1,0.066,0.033,0.0,0.066,0.0,0.033,0.133,0.1,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0.0,0.166,0.0,0.033,0.1,0.1,0.033,0.2,0.033,0.033,0.0,0.033,0.066,0.133,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0.018,0.2,0.033,0.033,0.166,0.166,0.033,0.033,0.0,0.0,0.0,0.1,0.1,0.033,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0.085,0.133,0.033,0.1,0.133,0.1,0.0,0.1,0.0,0.0,0.0,0.033,0.1,0.1,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0.017,0.033,0.033,0.133,0.1,0.033,0.0,0.066,0.0,0.033,0.0,0.1,0.066,0.1,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0.039,0.033,0.033,0.166,0.0,0.066,0.066,0.033,0.1,0.033,0.066,0.033,0.133,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0.016,0.133,0.0,0.1,0.1,0.033,0.033,0.033,0.033,0.033,0.066,0.1,0.1,0.033,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0.013,0.1,0.0,0.0,0.0,0.333,0.133,0.033,0.033,0.066,0.033,0.033,0.066,0.0,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0.016,0.133,0.033,0.066,0.1,0.066,0.0,0.133,0.0,0.0,0.0,0.033,0.133,0.1,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0.077,0.1,0.1,0.066,0.133,0.0,0.033,0.066,0.0,0.1,0.0,0.033,0.1,0.033,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0.017,0.033,0.033,0.066,0.1,0.233,0.0,0.133,0.0,0.033,0.033,0.0,0.066,0.133,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0.0,0.066,0.033,0.0,0.033,0.0,0.133,0.1,0.066,0.1,0.066,0.1,0.0,0.1,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0.0,0.033,0.0,0.033,0.0,0.2,0.133,0.066,0.0,0.1,0.133,0.066,0.066,0.066,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0.0,0.0,0.133,0.0,0.033,0.133,0.1,0.066,0.066,0.133,0.1,0.1,0.033,0.066,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,0.019,0.1,0.033,0.066,0.1,0.166,0.0,0.133,0.0,0.066,0.0,0.033,0.1,0.066,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0.0,0.1,0.066,0.066,0.133,0.033,0.0,0.033,0.033,0.066,0.066,0.1,0.033,0.033,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0.034,0.033,0.033,0.066,0.033,0.033,0.033,0.033,0.033,0.033,0.066,0.133,0.066,0.033,0.133,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,0.017,0.066,0.033,0.066,0.066,0.2,0.166,0.033,0.033,0.133,0.0,0.033,0.066,0.066,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0.034,0.1,0.066,0.066,0.066,0.0,0.066,0.033,0.066,0.066,0.1,0.066,0.066,0.0,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,0.013,0.066,0.033,0.066,0.033,0.033,0.166,0.066,0.066,0.1,0.033,0.0,0.033,0.1,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0.047,0.1,0.133,0.066,0.1,0.0,0.0,0.1,0.033,0.066,0.0,0.033,0.166,0.033,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,0.016,0.0,0.033,0.033,0.0,0.033,0.033,0.166,0.0,0.066,0.033,0.1,0.066,0.133,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,0.058,0.0,0.033,0.033,0.033,0.1,0.066,0.133,0.0,0.133,0.0,0.033,0.0,0.1,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0.0,0.033,0.066,0.0,0.033,0.1,0.1,0.1,0.033,0.1,0.066,0.1,0.033,0.1,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,0.045,0.066,0.066,0.033,0.066,0.066,0.0,0.066,0.066,0.066,0.0,0.1,0.033,0.0,0.166,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0.049,0.266,0.0,0.033,0.2,0.1,0.033,0.1,0.0,0.033,0.0,0.0,0.1,0.033,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0.069,0.033,0.033,0.1,0.066,0.066,0.033,0.1,0.033,0.033,0.0,0.066,0.033,0.133,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,0.0,0.066,0.033,0.066,0.066,0.133,0.066,0.1,0.0,0.1,0.0,0.033,0.066,0.066,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0.089,0.066,0.033,0.066,0.066,0.066,0.066,0.033,0.033,0.066,0.033,0.033,0.066,0.033,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0.084,0.1,0.0,0.1,0.066,0.033,0.033,0.1,0.033,0.0,0.033,0.0,0.1,0.1,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,0.017,0.066,0.066,0.033,0.033,0.1,0.066,0.1,0.033,0.066,0.1,0.066,0.1,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0.0,0.033,0.0,0.033,0.033,0.266,0.1,0.1,0.0,0.066,0.0,0.033,0.0,0.166,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,0.0,0.1,0.033,0.0,0.033,0.1,0.0,0.166,0.0,0.066,0.0,0.1,0.1,0.033,0.133,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,0.0,0.066,0.0,0.1,0.033,0.166,0.033,0.066,0.033,0.0,0.0,0.033,0.1,0.1,0.033,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,0.016,0.066,0.033,0.0,0.066,0.233,0.033,0.133,0.0,0.066,0.066,0.033,0.066,0.066,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0.0,0.0,0.033,0.033,0.033,0.133,0.1,0.133,0.033,0.166,0.0,0.066,0.033,0.066,0.133,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0.0,0.033,0.066,0.066,0.066,0.033,0.066,0.1,0.033,0.033,0.0,0.066,0.066,0.166,0.0,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,0.03,0.033,0.066,0.066,0.1,0.0,0.0,0.066,0.0,0.033,0.066,0.066,0.033,0.1,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0.06,0.1,0.033,0.066,0.0,0.0,0.0,0.133,0.033,0.066,0.0,0.066,0.166,0.0,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,0.02,0.066,0.033,0.033,0.033,0.033,0.133,0.1,0.033,0.133,0.033,0.066,0.066,0.066,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0.0,0.166,0.066,0.066,0.2,0.1,0.0,0.1,0.066,0.033,0.0,0.0,0.066,0.1,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,0.047,0.033,0.133,0.033,0.1,0.0,0.0,0.033,0.033,0.033,0.066,0.1,0.1,0.033,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,0.0,0.033,0.0,0.0,0.033,0.133,0.133,0.033,0.0,0.066,0.066,0.133,0.0,0.066,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,0.0,0.066,0.033,0.066,0.1,0.066,0.033,0.033,0.033,0.066,0.066,0.133,0.033,0.033,0.166,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0.033,0.033,0.133,0.1,0.133,0.033,0.0,0.0,0.1,0.033,0.0,0.033,0.033,0.066,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0.033,0.1,0.033,0.066,0.1,0.0,0.0,0.033,0.033,0.0,0.133,0.1,0.033,0.033,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
