nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,label
P125,0.013,0.033,0.066,0.1,0.066,0.1,0.0,0.066,0.033,0.033,0.133,0.033,0.1,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0.018,0.033,0.1,0.1,0.1,0.066,0.0,0.1,0.066,0.066,0.1,0.033,0.066,0.1,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,0.017,0.0,0.066,0.066,0.0,0.133,0.033,0.133,0.0,0.166,0.033,0.033,0.133,0.033,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0.018,0.033,0.033,0.1,0.1,0.066,0.033,0.066,0.0,0.1,0.033,0.066,0.066,0.1,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,0.0,0.066,0.0,0.066,0.033,0.033,0.2,0.066,0.0,0.1,0.033,0.133,0.1,0.133,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0.0,0.0,0.033,0.1,0.1,0.1,0.1,0.0,0.033,0.166,0.166,0.066,0.0,0.033,0.1,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,0.016,0.033,0.033,0.066,0.033,0.133,0.0,0.066,0.033,0.066,0.1,0.1,0.066,0.0,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0.016,0.033,0.066,0.0,0.066,0.133,0.1,0.0,0.0,0.066,0.1,0.133,0.033,0.066,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0.017,0.066,0.033,0.066,0.066,0.066,0.033,0.033,0.0,0.066,0.1,0.033,0.1,0.0,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,0.03,0.166,0.0,0.033,0.066,0.3,0.1,0.0,0.033,0.033,0.0,0.033,0.066,0.0,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,0.029,0.066,0.066,0.033,0.066,0.033,0.0,0.1,0.033,0.0,0.1,0.066,0.066,0.1,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,0.016,0.166,0.066,0.1,0.133,0.033,0.066,0.066,0.1,0.033,0.033,0.0,0.1,0.066,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,0.03,0.066,0.033,0.1,0.066,0.0,0.1,0.033,0.033,0.166,0.1,0.0,0.1,0.0,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,0.018,0.0,0.033,0.133,0.033,0.1,0.033,0.033,0.066,0.1,0.1,0.0,0.1,0.0,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,0.0,0.1,0.0,0.033,0.066,0.166,0.166,0.033,0.033,0.133,0.033,0.066,0.033,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,0.0,0.0,0.0,0.066,0.0,0.066,0.166,0.033,0.033,0.033,0.0,0.2,0.033,0.133,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P141,0.031,0.1,0.033,0.1,0.133,0.166,0.0,0.066,0.0,0.066,0.0,0.033,0.066,0.033,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P142,0.016,0.1,0.0,0.0,0.1,0.066,0.066,0.166,0.0,0.033,0.0,0.066,0.033,0.166,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P143,0.013,0.033,0.033,0.066,0.033,0.033,0.066,0.066,0.033,0.066,0.066,0.033,0.066,0.066,0.033,0.266,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P144,0.052,0.033,0.066,0.0,0.0,0.033,0.0,0.133,0.0,0.033,0.0,0.1,0.133,0.066,0.033,0.266,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P145,0.03,0.0,0.033,0.1,0.0,0.033,0.133,0.033,0.066,0.0,0.0,0.166,0.066,0.166,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P146,0.016,0.033,0.066,0.066,0.1,0.166,0.166,0.0,0.033,0.133,0.0,0.033,0.033,0.066,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P147,0.014,0.033,0.066,0.033,0.0,0.033,0.0,0.1,0.033,0.033,0.133,0.066,0.1,0.033,0.1,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P148,0.02,0.1,0.0,0.1,0.066,0.066,0.066,0.066,0.0,0.033,0.1,0.1,0.133,0.066,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P149,0.038,0.1,0.0,0.066,0.033,0.0,0.1,0.033,0.1,0.0,0.033,0.1,0.066,0.066,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P150,0.0,0.1,0.066,0.0,0.1,0.2,0.066,0.066,0.0,0.133,0.033,0.066,0.033,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P151,0.038,0.1,0.0,0.066,0.033,0.066,0.033,0.1,0.0,0.033,0.0,0.066,0.133,0.033,0.066,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P152,0.07,0.066,0.0,0.133,0.033,0.133,0.033,0.066,0.066,0.0,0.0,0.0,0.1,0.066,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P153,0.015,0.133,0.033,0.033,0.1,0.2,0.1,0.033,0.033,0.033,0.033,0.066,0.066,0.066,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P154,0.032,0.1,0.0,0.033,0.133,0.1,0.0,0.166,0.0,0.033,0.0,0.0,0.033,0.166,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P155,0.094,0.2,0.0,0.066,0.066,0.033,0.033,0.1,0.033,0.0,0.0,0.0,0.166,0.033,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P156,0.0,0.0,0.0,0.033,0.0,0.033,0.033,0.166,0.0,0.033,0.033,0.166,0.033,0.166,0.166,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P157,0.017,0.066,0.066,0.066,0.033,0.0,0.033,0.033,0.066,0.0,0.0,0.066,0.1,0.0,0.033,0.4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P158,0.096,0.066,0.1,0.066,0.1,0.066,0.033,0.0,0.033,0.066,0.033,0.1,0.066,0.033,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P159,0.014,0.0,0.033,0.166,0.1,0.0,0.0,0.033,0.066,0.033,0.033,0.033,0.066,0.1,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P160,0.038,0.066,0.0,0.033,0.0,0.066,0.1,0.066,0.0,0.066,0.133,0.066,0.1,0.066,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P161,0.018,0.1,0.033,0.1,0.1,0.166,0.033,0.066,0.0,0.1,0.033,0.033,0.133,0.0,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P162,0.042,0.066,0.0,0.1,0.066,0.066,0.0,0.133,0.033,0.033,0.033,0.0,0.1,0.1,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P163,0.0,0.0,0.033,0.066,0.0,0.066,0.066,0.066,0.033,0.066,0.133,0.133,0.066,0.066,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P164,0.015,0.066,0.1,0.033,0.133,0.133,0.066,0.033,0.0,0.1,0.066,0.066,0.066,0.066,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P165,0.058,0.1,0.066,0.033,0.133,0.066,0.033,0.0,0.033,0.033,0.033,0.1,0.033,0.0,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P166,0.0,0.066,0.0,0.1,0.133,0.066,0.033,0.066,0.033,0.0,0.066,0.1,0.0,0.133,0.133,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P167,0.021,0.033,0.0,0.066,0.033,0.2,0.033,0.133,0.0,0.133,0.0,0.0,0.066,0.033,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P168,0.0,0.0,0.0,0.0,0.0,0.366,0.033,0.266,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P169,0.017,0.1,0.033,0.133,0.1,0.066,0.0,0.1,0.0,0.0,0.0,0.033,0.133,0.1,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P170,0.028,0.033,0.066,0.133,0.033,0.133,0.033,0.066,0.066,0.033,0.0,0.033,0.133,0.066,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P171,0.018,0.033,0.0,0.1,0.1,0.133,0.033,0.066,0.0,0.066,0.033,0.033,0.033,0.133,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P172,0.038,0.066,0.0,0.133,0.1,0.133,0.033,0.033,0.0,0.033,0.033,0.0,0.066,0.066,0.0,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P173,0.0,0.1,0.066,0.033,0.033,0.033,0.033,0.133,0.1,0.033,0.0,0.1,0.066,0.033,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P174,0.017,0.033,0.0,0.033,0.066,0.133,0.0,0.2,0.0,0.033,0.033,0.066,0.0,0.2,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P175,0.035,0.0,0.0,0.133,0.066,0.1,0.033,0.1,0.0,0.066,0.066,0.033,0.033,0.133,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P176,0.034,0.066,0.033,0.166,0.1,0.066,0.033,0.0,0.0,0.033,0.0,0.066,0.166,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P177,0.018,0.1,0.0,0.033,0.1,0.166,0.033,0.133,0.0,0.1,0.0,0.0,0.033,0.1,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P178,0.018,0.1,0.033,0.033,0.066,0.166,0.033,0.133,0.033,0.0,0.0,0.0,0.066,0.133,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P179,0.017,0.0,0.033,0.133,0.066,0.033,0.0,0.166,0.0,0.033,0.0,0.033,0.1,0.166,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P180,0.027,0.166,0.0,0.033,0.133,0.133,0.1,0.033,0.033,0.066,0.0,0.033,0.0,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P181,0.014,0.2,0.033,0.033,0.133,0.166,0.033,0.1,0.033,0.033,0.0,0.0,0.066,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P182,0.02,0.066,0.0,0.033,0.033,0.033,0.166,0.033,0.066,0.066,0.133,0.1,0.033,0.066,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P183,0.0,0.133,0.0,0.1,0.133,0.066,0.066,0.1,0.033,0.1,0.033,0.0,0.1,0.066,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P184,0.028,0.0,0.1,0.0,0.0,0.3,0.0,0.033,0.066,0.066,0.166,0.066,0.0,0.0,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P185,0.068,0.1,0.066,0.066,0.133,0.066,0.033,0.1,0.033,0.1,0.0,0.0,0.066,0.1,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P186,0.076,0.033,0.033,0.066,0.066,0.0,0.0,0.166,0.033,0.066,0.033,0.033,0.033,0.133,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P187,0.03,0.066,0.0,0.066,0.0,0.066,0.1,0.033,0.1,0.066,0.133,0.033,0.033,0.0,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P188,0.0,0.033,0.0,0.066,0.066,0.133,0.033,0.133,0.0,0.066,0.1,0.033,0.033,0.166,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P189,0.036,0.1,0.033,0.066,0.066,0.0,0.1,0.066,0.066,0.0,0.033,0.066,0.066,0.133,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P190,0.019,0.0,0.033,0.166,0.1,0.0,0.066,0.066,0.033,0.1,0.033,0.033,0.033,0.166,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P191,0.029,0.0,0.1,0.066,0.066,0.033,0.066,0.066,0.066,0.1,0.0,0.066,0.066,0.1,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P192,0.0,0.066,0.0,0.033,0.033,0.166,0.1,0.166,0.0,0.1,0.033,0.033,0.066,0.1,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P193,0.017,0.1,0.066,0.0,0.066,0.166,0.066,0.133,0.033,0.066,0.0,0.0,0.066,0.1,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P194,0.051,0.066,0.033,0.066,0.1,0.066,0.066,0.1,0.0,0.066,0.0,0.0,0.066,0.133,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P195,0.0,0.133,0.033,0.066,0.1,0.066,0.033,0.166,0.033,0.066,0.0,0.0,0.1,0.1,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P196,0.033,0.066,0.1,0.033,0.066,0.133,0.066,0.066,0.033,0.033,0.0,0.1,0.066,0.1,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P197,0.027,0.033,0.066,0.133,0.1,0.033,0.066,0.033,0.033,0.133,0.0,0.033,0.066,0.066,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P198,0.044,0.033,0.066,0.1,0.066,0.0,0.066,0.0,0.033,0.033,0.1,0.1,0.133,0.066,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P199,0.0,0.1,0.0,0.066,0.133,0.2,0.066,0.033,0.0,0.1,0.066,0.0,0.066,0.033,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P200,0.0,0.1,0.033,0.033,0.1,0.066,0.033,0.166,0.033,0.033,0.0,0.0,0.066,0.133,0.0,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P201,0.015,0.033,0.1,0.033,0.066,0.033,0.033,0.233,0.033,0.133,0.0,0.0,0.066,0.2,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P202,0.018,0.033,0.1,0.066,0.133,0.166,0.033,0.0,0.033,0.033,0.0,0.1,0.066,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P203,0.014,0.1,0.033,0.066,0.066,0.033,0.033,0.133,0.033,0.033,0.0,0.033,0.1,0.133,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P204,0.0,0.133,0.0,0.1,0.066,0.166,0.066,0.066,0.133,0.0,0.0,0.0,0.033,0.033,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P205,0.059,0.033,0.033,0.1,0.066,0.1,0.133,0.0,0.033,0.033,0.033,0.1,0.1,0.1,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P206,0.0,0.066,0.0,0.133,0.1,0.2,0.033,0.033,0.1,0.0,0.0,0.033,0.0,0.066,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P207,0.015,0.066,0.033,0.066,0.066,0.166,0.1,0.066,0.066,0.066,0.0,0.033,0.066,0.1,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P208,0.0,0.0,0.066,0.033,0.033,0.066,0.066,0.1,0.0,0.133,0.1,0.066,0.066,0.066,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P209,0.065,0.1,0.033,0.1,0.066,0.0,0.0,0.033,0.1,0.033,0.033,0.1,0.033,0.0,0.2,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P210,0.067,0.066,0.0,0.033,0.033,0.066,0.1,0.066,0.066,0.033,0.133,0.066,0.0,0.1,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P211,0.0,0.033,0.033,0.0,0.0,0.033,0.066,0.2,0.033,0.033,0.066,0.033,0.033,0.2,0.033,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P212,0.061,0.0,0.033,0.166,0.066,0.0,0.0,0.066,0.066,0.033,0.133,0.0,0.066,0.1,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P213,0.031,0.033,0.033,0.133,0.1,0.1,0.0,0.033,0.0,0.0,0.1,0.066,0.1,0.133,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P214,0.029,0.1,0.0,0.066,0.066,0.066,0.1,0.066,0.0,0.033,0.033,0.1,0.066,0.1,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P215,0.044,0.0,0.0,0.1,0.0,0.1,0.066,0.066,0.0,0.1,0.133,0.066,0.066,0.066,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P216,0.036,0.1,0.066,0.033,0.033,0.133,0.066,0.1,0.033,0.033,0.0,0.033,0.1,0.066,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P217,0.0,0.1,0.066,0.066,0.133,0.133,0.0,0.1,0.066,0.1,0.0,0.033,0.033,0.033,0.133,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P218,0.015,0.033,0.033,0.066,0.0,0.0,0.033,0.1,0.033,0.033,0.033,0.1,0.1,0.066,0.1,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P219,0.0,0.1,0.1,0.0,0.1,0.166,0.033,0.1,0.033,0.066,0.0,0.033,0.066,0.066,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P220,0.0,0.033,0.1,0.066,0.066,0.1,0.066,0.1,0.033,0.133,0.033,0.0,0.066,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P221,0.032,0.0,0.033,0.066,0.1,0.033,0.066,0.033,0.0,0.1,0.1,0.1,0.033,0.1,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P222,0.0,0.166,0.0,0.066,0.133,0.2,0.033,0.1,0.033,0.033,0.0,0.0,0.066,0.066,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P223,0.0,0.066,0.033,0.033,0.1,0.366,0.066,0.0,0.0,0.066,0.1,0.033,0.033,0.066,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P224,0.0,0.166,0.0,0.033,0.066,0.1,0.033,0.133,0.066,0.033,0.066,0.033,0.066,0.033,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P225,0.017,0.133,0.0,0.066,0.033,0.033,0.066,0.1,0.133,0.0,0.033,0.1,0.066,0.066,0.133,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P226,0.0,0.033,0.033,0.0,0.033,0.133,0.033,0.2,0.0,0.133,0.066,0.033,0.033,0.1,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P227,0.017,0.133,0.1,0.033,0.133,0.033,0.0,0.033,0.0,0.0,0.0,0.133,0.133,0.033,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P228,0.034,0.0,0.033,0.1,0.0,0.0,0.166,0.033,0.033,0.1,0.0,0.133,0.066,0.133,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P229,0.0,0.066,0.0,0.1,0.066,0.1,0.1,0.1,0.066,0.066,0.0,0.033,0.033,0.133,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P230,0.016,0.0,0.066,0.033,0.1,0.2,0.033,0.1,0.033,0.133,0.066,0.0,0.0,0.1,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P231,0.014,0.033,0.066,0.166,0.1,0.033,0.033,0.0,0.1,0.033,0.1,0.066,0.033,0.066,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P232,0.013,0.133,0.033,0.033,0.066,0.066,0.066,0.1,0.066,0.033,0.0,0.066,0.033,0.066,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P233,0.054,0.033,0.066,0.066,0.0,0.033,0.033,0.066,0.033,0.033,0.1,0.066,0.166,0.033,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P234,0.0,0.0,0.033,0.066,0.033,0.0,0.1,0.1,0.033,0.1,0.066,0.066,0.033,0.133,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P235,0.015,0.133,0.066,0.0,0.1,0.1,0.066,0.033,0.033,0.0,0.033,0.133,0.066,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P236,0.036,0.133,0.0,0.033,0.1,0.133,0.1,0.066,0.0,0.1,0.0,0.033,0.033,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P237,0.032,0.133,0.0,0.033,0.1,0.133,0.0,0.066,0.066,0.0,0.0,0.033,0.033,0.033,0.1,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P238,0.016,0.133,0.1,0.066,0.166,0.0,0.033,0.0,0.033,0.033,0.066,0.1,0.066,0.033,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P239,0.031,0.066,0.033,0.066,0.066,0.1,0.033,0.1,0.033,0.033,0.033,0.033,0.066,0.066,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P240,0.0,0.033,0.066,0.1,0.033,0.0,0.066,0.033,0.033,0.066,0.1,0.1,0.166,0.033,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P241,0.0,0.1,0.066,0.033,0.0,0.033,0.133,0.066,0.1,0.1,0.066,0.066,0.066,0.0,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P242,0.032,0.066,0.033,0.166,0.033,0.066,0.033,0.033,0.066,0.0,0.033,0.066,0.166,0.066,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P243,0.0,0.033,0.0,0.033,0.0,0.066,0.066,0.066,0.0,0.033,0.033,0.133,0.033,0.1,0.1,0.3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P244,0.037,0.133,0.033,0.1,0.066,0.133,0.033,0.033,0.066,0.0,0.033,0.033,0.133,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P245,0.048,0.066,0.1,0.1,0.066,0.033,0.033,0.0,0.066,0.033,0.066,0.066,0.133,0.033,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P246,0.155,0.033,0.066,0.1,0.033,0.1,0.0,0.066,0.0,0.033,0.0,0.033,0.166,0.033,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P247,0.076,0.066,0.0,0.1,0.033,0.0,0.066,0.1,0.0,0.066,0.066,0.066,0.133,0.1,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P248,0.0,0.066,0.0,0.066,0.066,0.1,0.066,0.0,0.033,0.0,0.066,0.133,0.033,0.1,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P249,0.015,0.066,0.0,0.133,0.1,0.0,0.1,0.0,0.066,0.033,0.066,0.066,0.066,0.1,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P250,0.073,0.1,0.033,0.066,0.1,0.066,0.1,0.033,0.033,0.033,0.0,0.066,0.066,0.1,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
